url,bilde,nosaukums,adrese,istabas,platiba,stavs,tips,cena
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/eoeph.html,https://i.ss.com/gallery/7/1334/333357/66671202.th2.jpg,Izremontēts dzīvoklis ar atsevišķu ieeju un lielu zemesgabal,KauguriDiķu 1,2,42,1/2,Priv. m.,69000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/melluzi/bxlkxl.html,https://i.ss.com/gallery/7/1333/333110/66621855.th2.jpg,Квартирная собственность. Просторная квартира с террасой,MellužiMellužu pr. 19,5,187,5/5,Renov.,350000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/ghcnf.html,https://i.ss.com/gallery/7/1326/331353/66270420.th2.jpg,В тихой части Юрмалы продается отличная просторная квартира,Lielupe29. līnija 1,3,240,6/6,Specpr.,525000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mkhde.html,https://i.ss.com/gallery/6/1064/265932/53186208.th2.jpg,Продается отличная квартира с видом на море с большой террас,DzintariDzintaru pr. 39,2,91,2/3,Jaun.,350000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/bxcko.html,https://i.ss.com/gallery/7/1332/332981/66596123.th2.jpg,Продается 2-комнатная квартира в элитном жилом комплексе Leg,BulduriBulduru pr. 19,2,87,2/4,Jaun.,360000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/ajckc.html,https://i.ss.com/gallery/7/1236/308766/61753047.th2.jpg,"Īpašnieks pārdot 2 istabu dzīvokli. 602.sērija, 7.stāvs, lie",KauguriSkolas 27,2,52,7/9,602,65000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/beoheh.html,https://i.ss.com/gallery/7/1210/302440/60487960.th2.jpg,Продается трёхкомнатная квартира в проекте Turaidas kvartāls,DzintariТурайдас 17,3,81,2/4,Jaun.,310000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdnpng.html,https://i.ss.com/gallery/7/1332/332835/66566808.th2.jpg,"Tiek piedāvāts 2 istabu dzīvoklis pašā Jūrmalas centrā, proj",DzintariМадонас 5,2,110,1/4,Jaun.,250000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/bdonjm.html,https://i.ss.com/gallery/7/1266/316304/63260666.th2.jpg,Pārdošanā dzīvoklis ekskluzīvajā kvartālā Legend. Plašais če,BulduriBulduru pr. 17,4,164,2/4,Jaun.,1250000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/bkolii.html,https://i.ss.com/gallery/7/1261/315131/63026006.th2.jpg,Pārdod skaistu 2 līmeņu dzīvokli Jūrmalā. Iepazīstieties,JaundubultiLielupes 13,4,131,1/1,Specpr.,170000
